,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Bareilly,"Rajendra Nagar, Bareilly - UPPCB",7/12/2025 11:00,28.38910936,79.42963708,CO,12,86,26
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",7/12/2025 11:00,28.406963,77.849831,NH3,12,18,14
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",7/12/2025 11:00,27.168897,78.37696,OZONE,1,2,1
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB",7/12/2025 11:00,27.1594,78.3953,NO2,22,34,28
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra - UPPCB",7/12/2025 11:00,27.169338,78.03582,OZONE,NA,NA,NA
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB",7/12/2025 11:00,27.19862,77.92066,NH3,3,3,3
India,Uttar_Pradesh,Agra,"Shastripuram, Agra - UPPCB",7/12/2025 11:00,27.19862,77.92066,SO2,12,20,15
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",7/12/2025 11:00,28.964949,77.278761,NO2,17,57,33
India,Uttar_Pradesh,Baghpat,"Sardar Patel Inter College, Baghpat - UPPCB",7/12/2025 11:00,28.964949,77.278761,NH3,2,5,3
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",7/12/2025 11:00,29.06351,77.709723,NH3,9,9,9
India,Uttar_Pradesh,Moradabad,"Buddhi Vihar, Moradabad - UPPCB",7/12/2025 11:00,28.83526,78.7446,PM2.5,70,306,128
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",7/12/2025 11:00,28.840739,78.697531,NO2,29,78,45
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB",7/12/2025 11:00,28.840739,78.697531,CO,5,103,14
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB",7/12/2025 11:00,26.90723,80.98579,OZONE,7,33,13
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB",7/12/2025 11:00,26.8458805,80.9365541,NH3,15,24,20
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",7/12/2025 11:00,26.83399722,80.8917361,NH3,10,21,12
India,Uttar_Pradesh,Agra,"Manoharpur, Agra - UPPCB",7/12/2025 11:00,27.23711,78.01936,PM10,76,137,106
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",7/12/2025 11:00,28.88528,78.7388,SO2,20,26,21
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",7/12/2025 11:00,28.856664,78.772638,NO2,24,25,25
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",7/12/2025 11:00,28.849399,78.742362,PM10,102,308,148
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",7/12/2025 11:00,28.849399,78.742362,SO2,1,109,42
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB",7/12/2025 11:00,28.849399,78.742362,OZONE,22,88,24
India,Uttar_Pradesh,Moradabad,"Transport Nagar, Moradabad - UPPCB",7/12/2025 11:00,28.802625,78.753728,PM10,78,176,108
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB",7/12/2025 11:00,29.4723508,77.7194031,PM2.5,124,317,242
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",7/12/2025 11:00,22.5367507,88.3638022,SO2,7,40,18
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",7/12/2025 11:00,22.5367507,88.3638022,CO,8,113,43
India,West_Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",7/12/2025 11:00,22.5367507,88.3638022,OZONE,6,35,13
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",7/12/2025 11:00,22.58157048,88.41002457,PM10,115,246,157
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",7/12/2025 11:00,22.58157048,88.41002457,NH3,4,20,11
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata - WBPCB",7/12/2025 11:00,22.58157048,88.41002457,OZONE,12,45,17
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB",7/12/2025 11:00,22.55664,88.342674,PM2.5,164,346,265
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",7/12/2025 11:00,22.49929,88.36917,PM10,120,336,197
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",7/12/2025 11:00,23.567923,87.306843,NH3,2,2,2
India,West_Bengal,Durgapur,"Mahishkapur Road_B-Zone, Durgapur - WBPCB",7/12/2025 11:00,23.567923,87.306843,SO2,13,73,23
India,West_Bengal,Durgapur,"PCBL Residential Complex, Durgapur - WBPCB",7/12/2025 11:00,23.508764,87.35444,SO2,1,6,2
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)",7/12/2025 11:00,23.549395,87.300496,PM10,99,193,134
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)",7/12/2025 11:00,23.549395,87.300496,SO2,18,28,22
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur - WBPCB (Formerly known as Sidhu Kanhu Indoor Stadium)",7/12/2025 11:00,23.549395,87.300496,CO,33,63,53
India,Uttar_Pradesh,Varanasi,"Bhelupur, Varanasi - UPPCB",7/12/2025 11:00,25.301778,82.996789,CO,16,69,23
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",7/12/2025 11:00,25.262326,82.995408,PM10,77,169,116
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi - UPPCB",7/12/2025 11:00,25.262326,82.995408,CO,10,48,20
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",7/12/2025 11:00,25.32393,82.99687,CO,18,47,32
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",7/12/2025 11:00,27.571409,77.655757,NO2,12,12,12
